0,Не скачивается стала обновлять и зависло приложение что случилось,0
1,Приложение не открывается после обновления Уже неделю пытаюсь открыть ни у меня ни у моих друзей не получается,3
2,Добрый день после последнего обновления пропала функция заходить в приложение по сканированию лица,3
3,Не могу скачать так как требует подключения Wifi,1
4,Почему то не могу оплатить при минусе на балансе через applepay MasterCard,1
5,Не могу связаться с поддержкой банка Пишет что доступен только тупой Бот Поэтому опишу проблему тут В аккаунте 2 карты А и Б Карта А настроена как Приоритетная чтобы на нее приходили деньги при переводе по номеру телефона Однако фактически деньги приходят на карту Б Может поправите Такую низкую оценку ставлю потому что в таком крупном банке даже с поддержкой связаться невозможно Нонсенс ,1
6,Сделайте возможность отключать эти истории они дико раздражают,1
7,А я пожалуй закрою карту и все счета в сбере Переводы внутри банка  внутри одного города  платные Ребят 2020 год у ваших желтых конкурентов переводы в другие банки бесплатные а вы делаете переводы внутри вашего банка платными Чтобы перевыпустить карту нужно ехать в отдетение где эту карту заводили Доставки в другое отделение нет Доставки домой или в офис тем более Банк делает вид что он иновационный но он просто едет на огромной базе зарплатников и пенсионеров,1
8,Объясните почему нужно оплачивать перевод денег внутри банка,1
9,Дипломированные Мошенники,1
10,Очень плохо стало работать приложение в последнее время половину операций из истории не показывает неправильно показывает баллы спасибо и др проблемы раньше такого не было,4
11,Приложение супервот только б ещ можно было чисть историю операций и уведомлений сразу по несколько штук,0
12,Ни багов ни лагов пока не заметил,1
13,Сделайте как было скачивание без вайфая не у всех же он под боком и не получается скачивать,1
14,Очень удобное быстрое качественное и самое мое любимое приложение Спасибо за работу,4
15,В новом интерфейсе слишком много ненужных анимаций которые тратят время пользователя,1
16,Не могу обновить Сбербанк Онлайн уже 5 дней Как быть Подскажите,1
17,Во вкладке Бюджет неправильно рассчитывается остаток на Неделю и День Остатки идут на увеличение PS Хорошо если бы так было на самом деле,1
18,После последнего обновления стала быстро разряжаться батарея iPhone 7,3
19,Сбербанк онлайн работает хорошо но не всегда грузится раздел ВКЛАД,1
20,спасибо удобное приложение,0
21,Отличное приложениено есть один недостаток после каждого обновления само переключается на push уведомления о входеисправьте пожалуйста,3
22,Теперь можно переводить в месяц только 50 тыс рублей на другие Карты Сбербанка Все что свыше  комиссия 1 от суммы Сбербанк забирает себе хочешь переводить больше  оформи подписку уже не знают как деньги из людей сосать Просто бесчеловечный подход к своим клиентам,1
23,в целом на моем телефоне приложение работает стабильноно меня расстроила одна маленькая деталь Почему убрали тему искусства в приветствии,0
24,Самое кривое и неудобное банковское приложение Слетел шаблон ежемесячной оплаты за интернет И даже не могу повторить платж так как требует идентификаторы Если вам не жаль своего времени продолжайте пользоваться этим кривым и недоработанным приложением,0
25,Зачем выводить окно на заявку кредитной карты если оформление онлайн все равно не возможно и все равно отправляют в банк Где логика  не понятно ,1
26,Новая версия приложения  это тихий ужас Напичкали лишних переходов очень не удобно История операций отражалась раньше тоже удобнее,2
27,надоела реклама везде,1
28,Новая версия полностью повторяет меню смартфона Для планшета это несколько неудобно у меню только одна ориентация поэтому приходится поворачивать весь планшет Предыдущая версия была более удачнойС уважениемТовара Сергей КонстантиновичЖаль что нет версии для планшета На мой взгляд это ошибочное решение Осталось подождать как изменятся тарифы по вкладам а потом буду думать к кому обратитьсяВТБ России имеет версии и для планшета iPad и для смартфона на Андроид Для пенсионеров у них на 05 выше начисления Провайдер Сбербанк напрасно недооценивает своих клиентов Вперд ура,2
29,Не могу обновить  память позволяет интернет стабилен 2 дня уже висит на обновлении по итогу ничего не обновляет  что делать,1
30,Мне нравится приложение Хотелось бы чтобы в приложении Apple Watch тоже было видно кто перевл деньги,0
31,Добрый день Верните пожалуйста репродукции картин художников Это была замечательная идея Очень жаль что сейчас у меня в настройках их больше нет Это гораздо интереснее чем обычные видовые фотографии,2
32,После последнего обновления не показывает подключнные копилки Так же не происходит списание на копилку,3
33,Уважаемые разработчики программы каждый раз при входе в приложение Сбербанк онлайн на значке диалоги горит красный значок о непрочитанному сообщении в то время как непрочитанных сообщений там нет К чему это делается Или это Ошибка программы Решите е пожалуйста Очень раздражает После моего обращения к вам по поводу горящего окна сообщений в приложении прошло уже два обновления Проблема не решена Каждый раз при входе в мобильное приложение горит красным цифра 1 на флажке сообщений Непрочитанных сообщений нет Исправьте пожалуйста эту ошибкуь,2
34,После обновления начал вылетать сразу же,3
35,Наверное самое удобное приложение И хороший пример другим банкам,0
36,Зачем вы за перевод на карту Сбербанка вычитаете комиссию совсем офигели,1
